feature,coef,abs_coef
acoqualidade_woe_optb,0.9473957996118451,0.9473957996118451
s_min,0.5190835326390103,0.5190835326390103
c_mean,0.15348470086472762,0.15348470086472762
sequenciatotal,-0.1297623887796368,0.1297623887796368
temperaturaobjetivada,0.09949015872173253,0.09949015872173253
diferenca,-0.07789333416251698,0.07789333416251698
tempovacuototal,0.04600149908675322,0.04600149908675322
temperaturaliquidus,-0.02980059446847848,0.02980059446847848
n_min,-0.023065861188993297,0.023065861188993297
panela,0.008985473857770543,0.008985473857770543
vidapanela,-0.003579158888334234,0.003579158888334234
tempociclo,-8.993548593453871e-05,8.993548593453871e-05
nova_temperatura,3.8794237951104724e-05,3.8794237951104724e-05
