iter	RMSE
172	5.481813706
173	5.471717441
174	5.465672631
175	5.459957596
176	5.457334392
177	5.451404877
178	5.444949675
179	5.441791524
180	5.440300779
181	5.439033745
182	5.433646987
183	5.426554786
184	5.417375637
185	5.412455996
186	5.406886969
187	5.401377492
188	5.394547673
189	5.393153516
190	5.386223152
191	5.379449168
192	5.370319031
193	5.367621943
194	5.362742568
195	5.358227999
196	5.353430883
197	5.344588622
198	5.336678932
199	5.331425257
200	5.328712675
201	5.325799238
202	5.319690999
203	5.315287134
204	5.311894166
205	5.303398827
206	5.300285575
207	5.288800306
208	5.284637494
209	5.272563282
210	5.267919121
211	5.263771776
212	5.258267528
213	5.253260171
214	5.247874251
215	5.245248077
216	5.244612803
217	5.242018297
218	5.238079705
219	5.230295236
220	5.22273235
221	5.215518863
222	5.209487418
223	5.204372631
224	5.200076063
225	5.196049488
226	5.188043244
227	5.186210421
228	5.184370809
229	5.179742929
230	5.174075189
231	5.172091054
232	5.16906137
233	5.167171387
234	5.163876196
235	5.152731407
236	5.147914714
237	5.14568248
238	5.1370398
239	5.129346414
240	5.128130433
241	5.125905036
242	5.11869374
243	5.110762222
244	5.109022616
245	5.10527131
246	5.099468362
247	5.095254004
248	5.089226136
249	5.084853894
250	5.07696061
251	5.068721551
252	5.064828827
253	5.059949283
254	5.05809041
255	5.055914219
256	5.052769265
257	5.046932731
258	5.04220258
259	5.03507512
260	5.030111462
261	5.024302726
262	5.020019012
263	5.012289232
264	5.011903054
265	5.006886159
266	4.998995036
267	4.995405463
268	4.991975894
269	4.985035111
270	4.978766727
271	4.976660503
272	4.971146492
273	4.965045712
274	4.959788758
275	4.956364566
276	4.949098555
277	4.940237565
278	4.938004805
279	4.933966678
280	4.926764188
281	4.920307292
282	4.919436689
283	4.912464222
284	4.907364327
285	4.902400063
286	4.89742752
287	4.891405095
288	4.887227253
289	4.883755033
290	4.878616886
291	4.872460244
292	4.869083902
293	4.862347277
294	4.859678851
295	4.854246767
296	4.849922977
297	4.848407107
298	4.841979715
299	4.839420352
300	4.836106562
301	4.833256392
302	4.827656589
303	4.820092935
304	4.815162902
305	4.811690327
306	4.804467198
307	4.800126291
308	4.794647527
309	4.790145388
310	4.786798927
311	4.781779244
312	4.775482414
313	4.768585948
314	4.764807497
315	4.75848349
316	4.75332169
317	4.749384092
318	4.745265254
319	4.739240995
320	4.736781976
321	4.73247319
322	4.727301555
323	4.724310485
324	4.720437295
325	4.719088498
326	4.716734675
327	4.713759465
328	4.709125959
329	4.705003891
330	4.701420199
331	4.69895861
332	4.696169258
333	4.691298067
334	4.684813422
335	4.679965854
336	4.677656465
337	4.670926578
338	4.667228954
339	4.659999876
340	4.65482751
341	4.652727805
342	4.64979554
343	4.647151772
344	4.644278278
345	4.639613437
346	4.633458638
347	4.629246008
348	4.623357242
349	4.620881671
350	4.618230851
351	4.612061613
352	4.609445242
353	4.604790987
354	4.599241292
355	4.592005686
356	4.58499613
357	4.579856765
358	4.573874414
359	4.57017697
360	4.566274967
361	4.562565365
362	4.558833698
363	4.553788807
364	4.549895386
365	4.544637609
366	4.540915051
367	4.53641052
368	4.531217664
369	4.525592784
370	4.519846443
371	4.515445845
372	4.512077603
373	4.508739617
374	4.505935977
375	4.501617264
376	4.497922089
377	4.493652714
378	4.48969504
379	4.48500166
380	4.480538344
381	4.477734452
382	4.469779871
383	4.466251424
384	4.466066484
385	4.462794979
386	4.458083607
387	4.454455161
388	4.452325165
389	4.448910216
390	4.44537658
391	4.442096499
392	4.438710051
393	4.435305382
394	4.430571187
395	4.426398581
396	4.421324431
397	4.42122015
398	4.415308479
399	4.412457646
400	4.409883902
401	4.404993247
402	4.399503669
403	4.396856776
404	4.391597645
405	4.387859894
406	4.385038207
407	4.38250073
408	4.379214776
409	4.373566076
410	4.370665858
411	4.367900638
412	4.363273502
413	4.357419616
414	4.355675936
415	4.352559474
416	4.350258625
417	4.345608855
418	4.341200577
419	4.336338329
420	4.331081163
421	4.32790836
422	4.324981495
423	4.32261772
424	4.320166954
425	4.315359706
426	4.312393027
427	4.30822821
428	4.303977372
429	4.30087936
430	4.297218185
431	4.295025142
432	4.290664593
433	4.285670841
434	4.281278016
435	4.27872664
436	4.275184196
437	4.269481796
438	4.266230543
439	4.264755853
440	4.261086953
441	4.256533927
442	4.251828086
443	4.247270259
444	4.242393912
445	4.237476784
446	4.234942799
447	4.231328058
448	4.228340264
449	4.225311459
450	4.222564787
451	4.218792963
452	4.21395347
453	4.210295557
454	4.206499109
455	4.201806393
456	4.196687912
457	4.189573909
458	4.187149015
459	4.182339593
460	4.177843452
461	4.174511937
462	4.171426884
463	4.169053442
464	4.167377315
465	4.163028971
466	4.158991628
467	4.154136817
468	4.150303788
469	4.147389592
470	4.143949428
471	4.138516761
472	4.136460201
473	4.132923185
474	4.130113025
475	4.125735281
476	4.124364748
477	4.118708325
478	4.113045188
479	4.110308873
480	4.107244079
481	4.104426028
482	4.100370139
483	4.096267184
484	4.089771881
485	4.087584557
486	4.085078012
487	4.080449527
488	4.075972928
489	4.071833818
490	4.065774676
491	4.061184519
492	4.056670275
493	4.054509907
494	4.049912992
495	4.046224648
496	4.040791832
497	4.036984514
498	4.03534792
499	4.032935698
500	4.029300835
501	4.026770407
502	4.025297998
503	4.021471362
504	4.019405792
505	4.016042171
506	4.012731987
507	4.009683674
508	4.00800506
509	4.003590017
510	3.997544174
511	3.990410119
512	3.987348493
513	3.984344988
514	3.979994245
515	3.978006076
516	3.975659965
517	3.972519553
518	3.969688306
519	3.967428963
520	3.966258777
521	3.963611081
522	3.961150636
523	3.956853176
524	3.954533894
525	3.952317685
526	3.94846033
527	3.945267166
528	3.941591263
529	3.938552352
530	3.936275867
531	3.934678707
532	3.930371857
533	3.92666815
534	3.924030326
535	3.919692989
536	3.915742743
537	3.910003327
538	3.906556477
539	3.90133756
540	3.898567377
541	3.896451925
542	3.894474484
543	3.892038483
544	3.889946294
545	3.886989476
546	3.882890663
547	3.87929853
548	3.876419102
549	3.873539528
550	3.870385433
551	3.867822744
552	3.862981447
553	3.859565623
554	3.855849889
555	3.852007373
556	3.848787202
557	3.845951028
558	3.842061878
559	3.840360625
560	3.835464723
561	3.832145431
562	3.82878473
563	3.824569417
564	3.818354814
565	3.814076072
566	3.80891744
567	3.805547994
568	3.802986153
569	3.798365817
570	3.794664341
571	3.788644336
572	3.786108084
573	3.782609026
574	3.780447978
575	3.778022858
576	3.771760873
577	3.768722696
578	3.764537435
579	3.76149124
580	3.756612684
581	3.752235729
582	3.748077373
583	3.743989647
584	3.741836717
585	3.739505275
586	3.737188257
587	3.733730066
588	3.730317163
589	3.72789744
590	3.724627369
591	3.720172637
592	3.715539775
593	3.71385438
594	3.710086248
595	3.708644295
596	3.703726908
597	3.69906424
598	3.696378977
599	3.69501267
